file	date	bottle	composition_id	temperature_treatment	magnification	dilution_factor	sample	video
20200717_00001	9999.99.99	b_01	c_01	constant	25	1	1	1
20200717_00003	9999.99.99	b_01	c_01	constant	25	1	1	2
20200717_00005	9999.99.99	b_01	c_01	constant	25	1	1	3
20200717_00007	9999.99.99	b_02	c_02	constant	25	1	1	1
20200717_00009	9999.99.99	b_02	c_02	constant	25	1	1	2
20200717_00011	9999.99.99	b_02	c_02	constant	25	1	1	3
20200720_00001	9999.99.99	b_03	c_03	constant	25	1	1	1
20200720_00002	9999.99.99	b_03	c_03	constant	25	1	1	2
20200720_00003	9999.99.99	b_03	c_03	constant	25	1	1	3
20200720_00004	9999.99.99	b_04	c_04	constant	25	1	1	1
20200720_00005	9999.99.99	b_04	c_04	constant	25	1	1	2
20200720_00006	9999.99.99	b_04	c_04	constant	25	1	1	3
20200720_00007	9999.99.99	b_05	c_05	constant	25	1	1	1
20200720_00008	9999.99.99	b_05	c_05	constant	25	1	1	2
20200720_00009	9999.99.99	b_05	c_05	constant	25	1	1	3
20200720_00010	9999.99.99	b_06	c_06	constant	25	1	1	1
20200720_00011	9999.99.99	b_06	c_06	constant	25	1	1	2
20200720_00012	9999.99.99	b_06	c_06	constant	25	1	1	3
20200720_00013	9999.99.99	b_07	c_07	constant	25	1	1	1
20200720_00014	9999.99.99	b_07	c_07	constant	25	1	1	2
20200720_00015	9999.99.99	b_07	c_07	constant	25	1	1	3
20200720_00016	9999.99.99	b_08	c_08	constant	25	1	1	1
20200720_00017	9999.99.99	b_08	c_08	constant	25	1	1	2
20200720_00018	9999.99.99	b_08	c_08	constant	25	1	1	3
20200722_00001	9999.99.99	b_09	c_09	constant	25	1	1	1
20200722_00002	9999.99.99	b_09	c_09	constant	25	1	1	2
20200722_00003	9999.99.99	b_09	c_09	constant	25	1	1	3
20200722_00004	9999.99.99	b_10	c_10	constant	25	1	1	1
20200722_00005	9999.99.99	b_10	c_10	constant	25	1	1	2
20200722_00006	9999.99.99	b_10	c_10	constant	25	1	1	3
20200722_00007	9999.99.99	b_11	c_11	constant	25	1	1	1
20200722_00008	9999.99.99	b_11	c_11	constant	25	1	1	2
20200722_00009	9999.99.99	b_11	c_11	constant	25	1	1	3
20200722_00010	9999.99.99	b_12	c_12	constant	25	1	1	1
20200722_00011	9999.99.99	b_12	c_12	constant	25	1	1	2
20200722_00012	9999.99.99	b_12	c_12	constant	25	1	1	3
20200722_00013	9999.99.99	b_13	c_13	constant	25	1	1	1
20200722_00014	9999.99.99	b_13	c_13	constant	25	1	1	2
20200722_00015	9999.99.99	b_13	c_13	constant	25	1	1	3
20200722_00016	9999.99.99	b_14	c_14	constant	25	1	1	1
20200722_00017	9999.99.99	b_14	c_14	constant	25	1	1	2
20200722_00018	9999.99.99	b_14	c_14	constant	25	1	1	3
20200722_00019	9999.99.99	b_15	c_15	constant	25	1	1	1
20200722_00020	9999.99.99	b_15	c_15	constant	25	1	1	2
20200722_00021	9999.99.99	b_15	c_15	constant	25	1	1	3
20200722_00022	9999.99.99	b_16	c_16	constant	25	1	1	1
20200722_00023	9999.99.99	b_16	c_16	constant	25	1	1	2
20200722_00024	9999.99.99	b_16	c_16	constant	25	1	1	3
20200722_00025	9999.99.99	b_17	c_01	increasing	25	1	1	1
20200722_00026	9999.99.99	b_17	c_01	increasing	25	1	1	2
20200722_00027	9999.99.99	b_17	c_01	increasing	25	1	1	3
20200724_00001	9999.99.99	b_18	c_02	increasing	25	1	1	1
20200724_00002	9999.99.99	b_18	c_02	increasing	25	1	1	2
20200724_00003	9999.99.99	b_18	c_02	increasing	25	1	1	3
20200724_00004	9999.99.99	b_19	c_03	increasing	25	1	1	1
20200724_00005	9999.99.99	b_19	c_03	increasing	25	1	1	2
20200724_00006	9999.99.99	b_19	c_03	increasing	25	1	1	3
